   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,          metrics/F2,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
            0.095797,             0.28262,            0.080868,            0.043146,             0.20332,            0.091258,            0.049713,                   0,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
           0.0012382,            0.093428,          0.00068133,          0.00014138,           0.0058791,             0.22537,          0.00079402,                   0,               1e-05,                0.01,                 0.6,               0.001,              0.0005,                0.95,                 0.2,             0.09932,                 0.2,             0.50232,             0.99716,             0.98717,                 0.7,                   2,                   2,                   0,             0.01511,             0.70592,                 0.4,                   0,             0.09782,             0.49712,                   0,                   0,                   0,             0.49668,                   1,                   0,                   2
           0.0014935,            0.075759,          0.00081187,          0.00017047,           0.0069217,             0.21286,          0.00061997,                   0,               1e-05,                0.01,                 0.6,               0.001,              0.0005,                0.95,                 0.2,             0.09382,                 0.2,                 0.5,               1.221,             0.61775,                 0.7,                   2,                   2,                   0,               0.015,              0.4502,             0.50578,                   0,              0.1185,             0.56419,                   0,                   0,                   0,                 0.5,             0.74739,                   0,                   2
           0.0012861,            0.098054,          0.00068437,          0.00013784,           0.0061099,             0.20655,          0.00067786,                   0,               1e-05,                0.01,                 0.6,               0.001,              0.0005,                0.95,                 0.2,              0.0906,                 0.2,                 0.5,                   1,             0.87899,                 0.7,                   2,                   2,                   0,             0.01297,             0.68431,             0.40275,                   0,             0.10374,             0.53003,                   0,                   0,                   0,                 0.5,                   1,                   0,                   2
           0.0012019,            0.076593,          0.00064141,          0.00013144,           0.0056548,             0.22601,          0.00078946,                   0,               1e-05,                0.01,                 0.6,               0.001,              0.0005,                0.95,                 0.2,             0.09948,                 0.2,                 0.5,                   1,              1.0049,                 0.7,                   2,                   2,                   0,             0.01495,             0.70141,                 0.4,                   0,             0.10063,                 0.5,                   0,                   0,                   0,             0.50055,             0.99613,                   0,                   2
           0.0015219,             0.11122,          0.00083754,          0.00016796,           0.0072148,             0.23755,          0.00074057,                   0,               1e-05,                0.01,                 0.6,               0.001,             0.00059,                0.95,                 0.2,             0.10577,                 0.2,             0.61095,              1.0288,             0.83152,                 0.7,                   2,                   2,                   0,             0.01673,                 0.7,             0.39557,                   0,              0.1372,             0.45675,                   0,                   0,                   0,             0.39279,                   1,                   0,                   2
           0.0011136,            0.062633,          0.00060727,          0.00012293,           0.0051984,             0.22564,          0.00075734,                   0,               1e-05,             0.01006,                 0.6,               0.001,              0.0005,                0.95,                 0.2,             0.09925,                 0.2,             0.50292,             0.96757,                   1,                 0.7,                   2,                   2,                   0,             0.01466,             0.72488,             0.40689,                   0,             0.09841,              0.4973,                   0,                   0,                   0,              0.5041,             0.99574,                   0,                   2
           0.0012504,             0.15052,          0.00071612,          0.00014839,            0.006051,             0.21853,           0.0007411,                   0,               1e-05,                0.01,                 0.6,               0.001,              0.0005,                0.95,                 0.2,             0.09611,                 0.2,                 0.5,             0.91738,              1.0371,                 0.7,                   2,                   2,                   0,               0.017,                 0.7,             0.37388,                   0,             0.09777,             0.48922,                   0,                   0,                   0,              0.5022,             0.95858,                   0,                   2
           0.0013098,             0.10047,          0.00076833,          0.00015368,           0.0062245,             0.22139,          0.00079508,                   0,               1e-05,                0.01,                 0.6,               0.001,             0.00049,                0.95,                 0.2,             0.09747,                 0.2,             0.50884,              1.0068,              1.0051,                 0.7,                   2,                   2,                   0,             0.01495,             0.69932,             0.40241,                   0,              0.1002,             0.50809,                   0,                   0,                   0,                 0.5,                   1,                   0,                   2
            0.001321,             0.13085,          0.00077552,          0.00015753,           0.0063485,             0.23319,          0.00078628,                   0,               1e-05,             0.01051,                 0.6,               0.001,             0.00051,                0.95,                 0.2,             0.10272,                 0.2,                 0.5,                   1,                   1,                 0.7,                   2,                   2,                   0,             0.01492,              0.7226,             0.37925,                   0,             0.09456,             0.50994,                   0,                   0,                   0,             0.53532,             0.93112,                   0,                   2
           0.0014738,            0.082385,          0.00073424,          0.00015159,           0.0068769,             0.22021,          0.00055027,                   0,               1e-05,                0.01,                 0.6,               0.001,             0.00051,                0.95,                 0.2,             0.09675,                 0.2,                 0.5,             0.97986,             0.70495,                 0.7,                   2,                   2,                   0,             0.01262,             0.84817,             0.38487,                   0,             0.09721,             0.56777,                   0,                   0,                   0,             0.58823,             0.90421,                   0,                   2
